roberta_pca_1,roberta_pca_2,roberta_pca_3,roberta_pca_4,roberta_pca_5,roberta_pca_6,roberta_pca_7,roberta_pca_8,roberta_pca_9,roberta_pca_10,roberta_pca_11,roberta_pca_12,roberta_pca_13,roberta_pca_14,roberta_pca_15,roberta_pca_16,roberta_pca_17,roberta_pca_18,roberta_pca_19,roberta_pca_20,roberta_pca_21,roberta_pca_22,roberta_pca_23,roberta_pca_24,roberta_pca_25,roberta_pca_26,roberta_pca_27,roberta_pca_28,roberta_pca_29,roberta_pca_30,roberta_pca_31,roberta_pca_32
-0.6996298,-0.094611645,-0.036522686,-0.38460517,-0.27887547,-0.02743417,0.045562506,-0.005461871,-0.012603879,0.12889218,0.10660827,-0.0008995533,0.06118825,0.07513143,0.1453016,-0.19303554,0.0971871,0.09715536,-0.08993775,0.03340411,-0.017779589,-0.024994373,-0.08769894,-0.075238705,0.067276716,0.12001711,-0.053737104,0.0014744699,0.11054377,-0.08316934,0.062298775,-0.06935507
-0.49403763,-0.019106388,-0.052764654,-0.27777386,-0.2175144,-0.004695505,-0.062585354,-0.04857233,0.08555424,-0.011563778,0.061555028,0.0121665,-0.06533396,-0.027281359,0.046611443,0.010645568,0.024967194,-0.023673564,-0.09446311,0.003844738,0.0045847893,-0.022618294,-0.029480219,-0.08928537,-0.034931183,0.078496516,-0.03216338,0.016365498,0.020779163,-0.018576741,0.01074338,-0.08864224
-0.81255245,-0.36617708,0.0016408265,-0.1571126,-0.11810279,-0.029825062,0.024686575,-0.036853805,0.13599396,0.057386875,-0.11604309,-0.047453642,-0.116971314,0.05879672,-0.05609356,-0.22004956,0.029503822,0.16333148,0.026411533,-0.09684116,0.0647105,0.06749475,-0.041352153,-0.045587778,-0.049013853,-0.04348457,0.06696689,0.12029415,0.034203485,0.04300809,0.07014525,0.00072175264
-0.16686535,0.15136194,0.15512486,-0.30786037,-0.07055926,-0.02954346,0.09488773,0.21373586,-0.026477456,0.047996044,0.07302594,-0.033210397,-0.15181649,0.05760829,-0.028835788,0.11611992,-0.026715696,0.025081784,0.05553156,-0.12587523,-0.016683817,0.09651494,-0.03243637,-0.09071183,-0.07301164,0.0040887594,-0.035145164,0.011827022,-0.03725174,-0.04563749,-0.028863907,-0.03746128
0.48957062,-0.42643332,-0.21598518,-0.09895325,-0.11132443,0.20555785,0.13706064,0.20276362,-0.12253237,-0.15723252,0.011277556,-0.2496506,0.009568125,-0.0947762,0.00096313655,-0.10581237,0.041156113,-0.061114192,0.024970174,-0.0070232153,-0.1590867,0.07574499,0.03636074,0.016129732,0.07733774,0.042615533,0.04716015,-0.010216296,-0.13701823,-0.11444664,0.063266754,-0.066898584
-1.1775331,0.05103731,-0.1038124,-0.1777687,0.1731888,-0.04983148,0.098780155,-0.21066749,0.011762023,0.18360591,0.08980608,-0.07513583,-0.040612787,0.001387015,-0.10129539,0.07925862,0.1035648,0.0010236204,-0.10888505,0.039552867,-0.023368359,-0.015700817,-0.027763128,-0.024278402,0.00067925453,0.018813431,-0.032587886,-0.042271763,-0.0017211437,-0.013469219,-0.000116467476,0.051125526
-0.31972885,-0.1655531,-0.08009571,0.07065678,0.06857014,0.11479309,0.17551112,0.17607291,0.021244407,-0.026100159,0.053812027,-0.059559226,-0.03812802,0.14564721,-0.09431665,0.05297643,-0.099422574,-0.03526643,0.0035090446,-0.043460667,0.020891428,0.01153183,-0.04583919,0.029269934,-0.03588772,-0.0112220645,-0.029683888,-0.259663,0.0693409,-0.011362672,0.012978792,-0.026906312
0.31171703,0.31334257,-0.12121233,-0.13089275,-0.30571866,-0.20442033,-0.019590616,-0.027465448,-0.22963214,-0.16990805,0.21928585,0.07213187,0.0825983,-0.06637241,-0.024678364,0.020953953,-0.062379718,-0.03695783,0.13481784,-0.07843137,0.13096356,0.04643166,0.06060946,0.07146597,0.06461167,0.055175006,-0.04615891,0.029851764,0.0047429204,-0.04260111,0.03703189,-0.046258688
1.2192001,0.34058714,0.070695534,0.012055874,-0.04432714,0.087593704,0.05009556,-0.2454843,-0.060394883,0.02993989,-0.04676199,-0.0547961,-0.07689759,0.0040705353,0.052766874,-0.015075445,0.03762853,0.0143921375,-0.07445192,0.041582823,0.041547775,0.04567969,0.046685338,0.0366714,0.023022413,0.074570835,-0.009043336,0.0057064295,0.05108136,0.077360034,-0.083517194,0.0035732985
0.11663914,0.23025942,-0.020355493,-0.14665842,0.06593394,0.19130918,-0.041945696,-0.057179004,0.040369987,-0.025890112,0.08206093,-0.0075702667,-0.03542307,-0.012781307,-0.030651614,0.13593054,0.023427665,0.14391884,0.038889825,0.06810844,0.07862729,-0.098854065,-0.028325558,0.10079527,0.0077517033,-0.09705955,-0.089313686,0.048439145,-0.06320441,-0.05575514,0.0077769756,-0.070263445
