roberta_pca_1,roberta_pca_2,roberta_pca_3,roberta_pca_4,roberta_pca_5,roberta_pca_6,roberta_pca_7,roberta_pca_8,roberta_pca_9,roberta_pca_10,roberta_pca_11,roberta_pca_12,roberta_pca_13,roberta_pca_14,roberta_pca_15,roberta_pca_16,roberta_pca_17,roberta_pca_18,roberta_pca_19,roberta_pca_20,roberta_pca_21,roberta_pca_22,roberta_pca_23,roberta_pca_24,roberta_pca_25,roberta_pca_26,roberta_pca_27,roberta_pca_28,roberta_pca_29,roberta_pca_30,roberta_pca_31,roberta_pca_32
0.029244423,-0.18581247,0.046913456,-0.010164738,-0.16419578,-0.102350175,0.17870116,-0.11997652,-0.1260693,-0.18241501,0.09119439,0.07600477,-0.07751374,-0.0049243867,0.14092267,-0.16885278,-0.12796319,-0.07067537,0.03614092,0.05440192,-0.12794721,-0.07137191,-0.02891612,-0.054872274,-0.0635728,-0.12500393,0.07957196,-0.0309003,0.04635036,-0.056935906,0.10617831,0.04998052
0.2761917,0.1743598,0.064849235,-0.14919043,-0.116858006,-0.14029855,0.24273372,0.23999768,-0.01574707,-0.019275188,0.10186386,-0.050441116,-0.073917225,-0.0013042986,0.045082808,0.048412114,-0.11669612,0.0490098,-0.047972977,-0.10259956,0.05820614,-0.03126979,-0.13411403,-0.0063813925,0.011055298,0.03394699,-0.057757854,-0.010863304,-0.09998107,-0.032660127,-0.00095140934,-0.079781234
0.36169338,-0.32223034,0.3289094,0.29650283,0.07578921,0.13348478,-0.15934801,-0.21581459,0.12491274,0.047876358,-0.11225736,-0.019674152,-0.14847796,-0.07694417,-0.07936311,-0.02311048,-0.13000673,-0.12920624,-0.06270164,0.08481778,0.078953326,0.060236692,-0.020593643,-0.0071128607,0.04121256,0.09636617,0.06657529,0.01843977,-0.048594236,0.010789037,0.016997695,-0.07974069
-0.03531742,-1.1885054,0.41289192,-0.17619538,-0.0893085,-0.373308,-0.00060272217,0.3634556,-0.16533136,-0.17416811,0.08057833,-0.045026287,0.3473261,0.10753974,0.12455952,0.11683512,-0.00015646219,0.12763882,-0.21049458,0.010389075,-0.09699029,-0.08719373,-0.050441504,0.093096375,-0.055107348,-0.03624642,0.04577315,0.05183935,-0.11207247,0.22700131,0.07990846,-0.13967922
-1.1431808,-0.013849258,-0.008860355,0.022368193,0.080240965,-0.09372622,0.021864414,-0.041037947,0.00022411346,0.015805006,-0.07315874,0.11189678,-0.09655471,-0.05478266,0.03823197,0.045951813,-0.066340744,-0.014292717,-0.021050513,-0.0724538,-0.078320146,-0.08201289,-0.004520893,0.06265795,0.02679976,-0.0024091005,-0.0025844574,-0.011405289,0.062053323,-0.013109565,-0.014161527,-0.03062427
0.06979942,0.16689253,0.19115661,-0.15031219,-0.3254156,-0.028043807,0.3711443,0.11546564,-0.14863527,0.17931461,0.11695826,0.07311371,-0.09810184,-0.04888165,0.04954338,0.02160436,-0.04063201,-0.06523895,0.061902165,0.06295626,0.046401262,0.045604587,0.009032488,-0.011999011,-0.15673465,0.0675267,0.01160264,-0.033508718,-0.050368667,-0.05425811,0.06272212,0.0025767982
0.45420074,0.10561085,-0.3537539,-0.07195377,0.0896039,-0.23079997,-0.20333624,0.45010632,0.10892129,0.08914399,-0.05082786,0.17249393,-0.022951365,-0.12706393,0.01923871,-0.0539245,0.15769267,0.085315466,0.1380114,-0.0009588152,0.054300487,0.11582136,-0.02767539,-0.064934015,0.0556003,-0.025959134,0.054428577,0.08985156,-0.02055204,-0.035289407,0.010627985,-0.050960988
0.2374754,-0.14359951,-0.45936593,0.13008928,-0.1488297,-0.13920408,0.029392242,0.122074544,0.10654354,0.16826153,0.03230369,0.13349846,0.06485178,-0.09741968,-0.08725858,0.11420685,-0.040340006,0.084644794,-0.024695754,-0.042995706,-0.16314149,-0.020947576,0.027002335,-0.062717676,-0.031151094,-0.046028614,-0.063904285,-0.055193543,0.0434103,-0.086916566,-0.025711775,0.027090073
-0.79690456,0.05181265,0.47599933,0.21301675,-0.101195335,0.14088064,-0.36188126,0.010801852,-0.18036532,0.06573844,-0.08964968,-0.005622953,-0.10074513,-0.04933974,-0.061889052,-0.07417089,0.056491524,-0.08831656,-0.063206255,0.06457855,0.05907172,-0.12249148,0.026918888,-0.037139893,-0.076199494,0.03915012,0.07213068,-0.014821231,0.046553373,0.08275807,0.031389773,0.008641243
-0.06720638,0.06733751,0.084746875,0.29997778,-0.1828382,-0.017759144,0.22744727,-0.10452312,-0.044770002,0.13049436,0.12115753,0.13757613,0.014366344,0.0011211634,0.10464454,0.022154212,-0.04788947,0.08726144,-0.035950422,-0.060810655,0.036772788,0.051970482,-0.116665125,0.027372241,-0.02462133,0.014376521,0.06766963,-0.021865427,-0.03876245,-0.0549649,-0.03326875,-0.0011503994
0.22245502,0.12615871,-0.16388443,0.03218937,-0.13941169,-0.0005481243,0.13528895,0.13170922,0.15999484,-0.05738616,0.001663208,-0.10173814,-0.0333654,0.09433305,-0.06680775,-0.13862854,0.055226922,-0.058661222,-0.049553573,0.022035703,-0.07676393,-0.06648886,0.07136774,-0.0230788,-0.008269586,-0.08323276,-0.06195724,-0.07928306,-0.06042266,0.08743727,0.008285284,0.04972461
0.27141,0.23085833,-0.034673426,-0.048458576,-0.20680833,0.12986964,0.243999,-0.0016417801,-0.010992169,0.04309964,0.02675891,0.036367625,0.038422197,-0.065871775,0.08122814,0.06817943,0.022782981,0.023115993,0.098772526,0.04701303,0.021497846,-0.08639526,-0.12273693,-0.002730012,-0.03204333,0.0057787895,-0.071992755,0.09601313,0.029917955,0.038865447,-0.034285128,-0.06259827
-0.78567696,-0.101118565,-0.039049495,-0.11164045,0.12474394,0.012844086,0.19414783,-0.006674409,0.12653232,-0.03800273,-0.06767404,-0.041797653,0.030011967,0.06081137,-0.024391413,0.10131922,-0.013756871,0.013232112,0.027844787,-0.10185593,-0.0014545918,-0.118204355,0.058659792,0.056440473,0.0018789023,-0.01951003,-0.053229094,-0.06638509,0.047518373,0.0064126253,-0.0013228655,-0.05224204
-0.24628162,0.3085475,0.21777882,-0.1414957,-0.19903612,-0.018980682,-0.027700663,-0.015826821,0.1482501,0.052945614,-0.060083866,-0.09347086,0.025425136,-0.0019702017,-0.01807189,-0.029665142,-0.03290087,0.009993911,-0.021369517,-0.0031897277,0.1518628,0.015717626,0.1265204,0.012421846,-0.030049287,0.042320967,0.019039273,-0.02333361,-0.034699082,-0.030642033,-0.05808705,0.0060418844
-1.3305845,-0.12428856,-0.17262945,-0.102125645,0.11919212,-0.09379321,-0.04387808,-0.038882315,-0.007654071,0.025779009,0.031136394,0.115868986,0.028428093,-0.019224584,0.063115835,-0.13759613,-0.096795976,-0.039165974,0.0961895,0.020827755,-0.0580588,-0.038817883,-0.061831713,0.058161378,-0.01087065,0.04060769,-0.077766776,0.06822342,0.015669107,0.086936235,-0.019504964,-0.02033931
